stride,iops
1,233609.69
2,251641.98
3,234830.35
4,284675.48
5,190830.12
6,196599.95
7,181320.22
8,185030.86
9,430826.19
10,875285.97
11,871210.2
12,921322.49
13,952712.74
14,972140.32
15,936931.67
16,690212.11
17,938633.58
18,548159.76
19,922634.14
20,908951.68
21,339288.57
22,416543.65
23,445776.12
24,779247.15
25,955688.88
26,858971.41
27,971036.58
28,921589.94
29,396251.96
30,302865.24
31,298179.18
32,277202.34
33,343876.3
34,355206.35
35,331364.4
36,834879.98
37,844854.39
38,952029.09
39,1024904.25
40,881135.13
41,1033491.83
42,856306.62
43,883393.24
44,945996.82
45,552206.12
46,1092284.21
47,1048860.41
48,735423.06
49,1104774.13
50,876864.4
51,943513.6
52,465517.48
53,373115.42
54,381180.61
55,397336.62
56,391603.35
57,425436.62
58,917923.81
59,963632.67
60,948494.24
61,451445.76
62,673101.77
63,463338.68
64,679374.38
65,793451.08
66,745297.33
67,928535.0
68,839842.76
69,1041235.0
70,841255.07
71,1045716.2
72,1014035.27
73,897972.77
74,1010377.4
75,833925.14
76,852905.17
77,1023238.48
78,764745.66
79,502914.03
80,770019.27
81,920527.32
82,704488.6
83,782497.26
84,913474.0
85,1072576.91
86,1120978.42
87,1115045.23
88,1142359.19
89,941311.55
90,1052068.36
91,1118895.48
92,1135135.9
93,950584.97
94,1113268.24
95,1116491.7
96,901647.32
97,996844.49
98,1106300.54
99,870598.53
100,1122384.74
101,1124130.58
102,1097193.02
103,1110095.06
104,1112720.16
105,1109180.56
106,1106801.77
107,605971.61
108,1094562.76
109,385134.12
110,1079647.65
111,1043337.36
112,1065813.94
113,1086203.12
114,1092816.73
115,1090644.57
116,1094625.9
117,1112249.94
118,573428.37
119,1096003.64
120,1104887.83
121,1103996.82
122,1106407.05
123,1101330.9
124,962891.21
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
